0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:45 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:47 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:47 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:47 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:47 +0200] "GET /MainApp/api/post HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:48 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
0:0:0:0:0:0:0:1 - - [04/May/2020:21:02:50 +0200] "GET /MainApp/api/post/2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:17 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:18 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:18 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:18 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:18 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:18 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 34081
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/api/post HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:19 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
0:0:0:0:0:0:0:1 - - [04/May/2020:21:04:22 +0200] "GET /MainApp/api/post/2 HTTP/1.1" 200 5
